"plugin","sites","pct"
"MalCare WordPress Security Plugin - Malware Scanner, Cleaner, Security Firewall","34","1.09"
"Uncanny Automator","34","1.09"
"H5P","34","1.09"
"Essential Addons for Elementor - Pro","34","1.09"
"3D FlipBook - Lite Edition","34","1.09"
"JetElements For Elementor","34","1.09"
"Foxiz Core","34","1.09"
"File Manager Advanced","34","1.09"
"Debloat","34","1.09"
"Meta Box","34","1.09"
"MetForm","34","1.09"
"Category Order and Taxonomy Terms Order","34","1.09"
"Content Views","34","1.09"
"Instant Images","33","1.05"
"Gravatar Enhanced","33","1.05"
"Ansar Import","33","1.05"
"WooCommerce Shipping & Tax","33","1.05"
"Tawk.to Live Chat","33","1.05"
"SEOPress","33","1.05"
"JNews - Meta Header","33","1.05"
"Post SMTP","33","1.05"
"SiteNarrator Widget","33","1.05"
"Featured Image from URL (FIFU)","33","1.05"
"GoSMTP Pro","33","1.05"
"Blogger Importer","33","1.05"
"WPFront Scroll Top","32","1.02"
"Pagelayer Pro","32","1.02"
"Popup Builder - Create highly converting, mobile friendly marketing popups.","32","1.02"
"LightStart - Maintenance Mode, Coming Soon and Landing Page Builder","32","1.02"
"Mailchimp for WooCommerce","32","1.02"
"Relevanssi","32","1.02"
"Media Cleaner","32","1.02"
"All in One SEO Pro","32","1.02"
"WPML String Translation","31","0.99"
"OG — Better Share on Social Media","31","0.99"
"Anti-Spam by CleanTalk","31","0.99"
"SiteOrigin Widgets Bundle","31","0.99"
"AF Companion","31","0.99"
"Ultimate Addons for Elementor (UAE)","31","0.99"
"Speculative Loading","31","0.99"
"Unlimited Elements for Elementor (Premium)","31","0.99"
"Custom Fonts","30","0.96"
"Table of Contents Plus","30","0.96"
"WP All Export","30","0.96"
"Ajax Search Lite","30","0.96"
"CMP - Coming Soon & Maintenance Plugin","30","0.96"
"Read Meter - Reading Time & Progress Bar for WordPress.","30","0.96"
"WordPress.com Editing Toolkit","30","0.96"
"All 404 Redirect to Homepage","30","0.96"
"Optimization Detective","30","0.96"
"Happy Elementor Addons","30","0.96"
"Bunyad Demo Import","30","0.96"
"Facebook for WooCommerce","30","0.96"
"WP Permalink Translator","30","0.96"
"Page Views Count","30","0.96"
"FileBird Lite","30","0.96"
"WP-Sweep","29","0.93"
"Elementor Beta (Developer Edition)","29","0.93"
"Formidable Forms","29","0.93"
"WP STAGING WordPress Backup Plugin - Backup Duplicator & Migration","29","0.93"
"SiteGround Central","29","0.93"
"Performant Translations","29","0.93"
"3CX Live Chat","29","0.93"
"List category posts","29","0.93"
"JetSmartFilters","28","0.89"
"Sticky Header Effects for Elementor","28","0.89"
"Use Any Font","28","0.89"
"OMGF","28","0.89"
"DreamHost Panel Login","28","0.89"
"Presto Player","28","0.89"
"WP All Import","28","0.89"
"MP3 Audio Player by Sonaar","28","0.89"
"Secure Copy Content Protection","28","0.89"
"Contextual Related Posts","28","0.89"
"Redirect Redirection","27","0.86"
"Link Whisper","27","0.86"
"Embed Optimizer","27","0.86"
"Ultimate Post Kit","27","0.86"
"PixelYourSite","27","0.86"
"PHP Compatibility Checker","27","0.86"
"Change WordPress Login Logo","27","0.86"
"LuckyWP Table of Contents","27","0.86"
"JNews - Gallery","27","0.86"
"Visitor Traffic Real Time Statistics","27","0.86"
"Akismet Anti-Spam","27","0.86"
"Checkout Field Editor for WooCommerce","26","0.83"
"AdSense Integration WP QUADS","26","0.83"
"Advanced Import","26","0.83"
"WP Go Maps (formerly WP Google Maps)","26","0.83"
"Link Whisper Free","26","0.83"
"WooCommerce Tax","26","0.83"
"WP-Polls","26","0.83"
"10Web Booster","26","0.83"
"WP Armour - Honeypot Anti Spam","26","0.83"
"Asset CleanUp: Page Speed Booster","26","0.83"
"Tidio Chat","26","0.83"
"LearnPress - Course Review","26","0.83"
"SearchWP Live Ajax Search","26","0.83"
"Easy Updates Manager","26","0.83"
"SureForms","25","0.8"
"Re-add text underline and justify","25","0.8"
"Imunify Security","25","0.8"
"3D Viewer – 3D Model Viewer – Augmented Reality","25","0.8"
"Enhanced Responsive Images","25","0.8"
"Variation Swatches for WooCommerce","25","0.8"
"AirLift","25","0.8"
"Location Weather","25","0.8"
"ProfilePress","25","0.8"
"Zapier for WordPress","25","0.8"
"Starter Templates by Kadence WP","25","0.8"
"JNews - Social Login","25","0.8"
"Redirection for Contact Form 7","25","0.8"
"Compact Audio Player","25","0.8"
"Quiz And Survey Master","25","0.8"
"Force Regenerate Thumbnails","25","0.8"
"PostX","25","0.8"
"Embed Any Document","24","0.77"
"ReCaptcha v2 for Contact Form 7","24","0.77"
"Latest Posts Block Lite","24","0.77"
"YellowPencil Pro","24","0.77"
"Hester Core","24","0.77"
"Reviews Feed","24","0.77"
"The Plus Addons for Elementor","24","0.77"
"Make Connector","24","0.77"
"User Profile Picture","24","0.77"
"BackWPup","24","0.77"
"Breeze","24","0.77"
"wpForo","23","0.73"
"LearnDash LMS","23","0.73"
"All in One Accessibility","23","0.73"
"White Label CMS","23","0.73"
"YouTube WordPress Plugin by Embed Plus","23","0.73"
"Newsletter - Addons Manager and Support","23","0.73"
"Print, PDF & Email by PrintFriendly","23","0.73"
"Download Monitor","23","0.73"
"Call Now Button","23","0.73"
"Seriously Simple Podcasting","23","0.73"
"Default featured image","23","0.73"
"Vlibras Widget","23","0.73"
"Newsletters, Email Marketing, SMS and Popups by Omnisend","23","0.73"
"WP External Links","23","0.73"
"TaxoPress","23","0.73"
"BlockSpare - Gutenberg Site Builder Blocks & Starter Sites","23","0.73"
"WP Webhooks","23","0.73"
"Big File Uploads","23","0.73"
"WP Mail SMTP Pro","23","0.73"
"Smart Slider 3 Pro","23","0.73"
"AIOSEO - IndexNow","22","0.7"
"ShareThis Share Buttons","22","0.7"
"Accessibility Checker","22","0.7"
"User Menus","22","0.7"
"Disqus for WordPress","22","0.7"
"Page Links To","22","0.7"
"JNews - Split","22","0.7"
"Everest Forms","22","0.7"
"Public Post Preview","22","0.7"
"TinyPNG - JPEG, PNG & WebP image compression","22","0.7"
"Avada Core","22","0.7"
"Custom Sidebars","22","0.7"
"Hustle","22","0.7"
"Advanced Ads Pro","22","0.7"
"CMB2","22","0.7"
"Independent Analytics","22","0.7"
"Backup Migration","22","0.7"
"Penci Shortcodes & Performance","22","0.7"
"Display Posts","22","0.7"
